Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17384456,Επικίνδυνος οίκτος,Stefan Zweig,"Zweig, Stefan",Μιμίκα Κρανάκη,"=""9605050382""","=""9789605050382""",0,Εκδόσεις Άγρα,Paperback,448,2012,1939,,2026/01/14,"to-read, looking-for","to-read (#408), looking-for (#15)",to-read,,,,0,0
39687007,Εθνική 86,Jean-Bernard Pouy,"Pouy, Jean-Bernard","Σπύρος Γιανναράς, Caryl Férey","=""9605053160""","=""9789605053161""",3,Άγρα,Paperback,264,2018,1995,2026/01/13,2022/10/03,,,read,,,,1,0
4187885,In Vino Veritas,Søren Kierkegaard,"Kierkegaard, Søren",,"=""8425074282""","=""9788425074288""",0,Guadarrama.,Paperback,139,1976,1845,,2026/01/12,to-read,to-read (#407),to-read,,,,0,0
2518113,Spinoza encule Hegel,Jean-Bernard Pouy,"Pouy, Jean-Bernard",,"=""2070409627""","=""9782070409624""",0,FOLIO,Mass Market Paperback,144,1999,1983,,2026/01/12,to-read,to-read (#406),to-read,,,,0,0
16335,"The Mystery of the Blue Train (Hercule Poirot, #6)",Agatha Christie,"Christie, Agatha",,"=""1579126952""","=""9781579126957""",0,Black Dog & Leventhal Publishers,Hardcover,317,2007,1928,,2026/01/11,to-read,to-read (#405),to-read,,,,0,0
60142,La ciudad y los perros,Mario Vargas Llosa,"Llosa, Mario Vargas",,"=""8466309152""","=""9788466309158""",0,Punto de Lectura,Mass Market Paperback,446,2000,1962,,2026/01/11,to-read,to-read (#404),to-read,,,,0,0
9809,Invisible Cities,Italo Calvino,"Calvino, Italo",William Weaver,"=""0156453800""","=""9780156453806""",0,Harcourt,Paperback,165,1974,1972,,2026/01/11,to-read,to-read (#403),to-read,,,,0,0
25984330,Η έρημος των Ταρτάρων,Dino Buzzati,"Buzzati, Dino",Ανταίος Χρυσοστομίδης,"=""0002630036""","=""9780002630030""",0,Αστάρτη,Paperback,260,1991,1940,,2026/01/09,to-read,to-read (#402),to-read,,,,0,0
15849152,"«Φωτιά και τσεκούρι!»: Ελλάς, 1946-49 και τα προηγηθέντα",Ευάγγελος Αβέρωφ-Τοσίτσας,"Αβέρωφ-Τοσίτσας, Ευάγγελος",,"=""9600502080""","=""9789600514766""",0,Βιβλιοπωλείον της Εστίας,Paperback,430,1996,1973,2026/01/08,2026/01/02,,,read,,,,1,0
27503705,Φόβος και παράνοια στο Λας Βέγκας,Hunter S. Thompson,"Thompson, Hunter S.",Αλέξης Καλοφωλιάς,"=""9606006778""","=""9789606006777""",3,Εκδόσεις Πατάκη,Paperback,248,1998,1971,2016/04/17,2013/07/07,comedy-humor,comedy-humor (#7),read,,,,1,0
26195941,The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,"Zuboff, Shoshana",,"=""1610395697""","=""9781610395694""",0,PublicAffairs,Hardcover,691,2019,2018,,2026/01/08,to-read,to-read (#401),to-read,,,,0,0
244948643,Ο άνθρωπος με τα ζαφειρένια χείλη,Hervé Le Corre,"Corre, Hervé Le",Γιάννης Καυκιάς,"=""6185868172""","=""9786185868178""",0,Εκδόσεις του Εικοστού Πρώτου,Paperback,456,2025,2004,,2026/01/03,to-read,to-read (#400),to-read,,,,0,0
237995292,"Τέλειο παρελθόν (Mario Conde, #1)",Leonardo Padura,"Padura, Leonardo",Κώστας Αθανασίου,"=""9600373973""","=""9789600373974""",0,Καστανιώτης,Hardcover,308,2025,1991,,2025/09/19,to-read,to-read (#375),to-read,,,,0,0
13377256,Μικρή ιστορία του κόσμου,E.H. Gombrich,"Gombrich, E.H.","Έλενα Καμηλάρη, Ελένη Μαρτζούκου","=""9601623655""","=""9789601623658""",4,Εκδόσεις Πατάκη,Paperback,352,2007,1936,2026/01/01,2025/12/21,,,read,,,,1,0
60581087,The Passenger (The Passenger #1),Cormac McCarthy,"McCarthy, Cormac",,"=""0593535227""","=""9780593535226""",0,Knopf,Kindle Edition,385,2022,2022,,2025/12/30,to-read,to-read (#399),to-read,,,,0,0
42930642,Οδηγίες για οικιακές βοηθούς,Lucia Berlin,"Berlin, Lucia",Κατερίνα Σχινά,"=""9608061652""","=""9789608061651""",0,Στερέωμα,Paperback,576,2018,2015,,2025/12/28,to-read,to-read (#398),to-read,,,,0,0
